try 246, z = -0.8028542133655344
try 22, z = 1.5128138666141127
try 422, z = -0.5128646589221629
try 102, z = -0.5082169895177325
try 262, z = 1.0570435153791682
try 342, z = 2.322716017805171
try 502, z = 0.08519149818120952
try 470, z = -0.6448211300168138
try 406, z = 0.2246919386836318
try 54, z = 2.246942271079964
try 294, z = 0.6050570488748918
try 150, z = -0.017860945717599643
try 198, z = -0.4523177349101404
try 166, z = -0.5961676413427576
try 134, z = 0.43249743047653233
try 454, z = -0.7506002352507656
try 230, z = 0.5524676647396871
try 310, z = -0.0660684192556214
try 182, z = 0.13118270226147372
try 390, z = -1.8171959733336442
try 486, z = 0.6869597602815509
try 374, z = -0.04656909158978026
try 7, z = -0.8502478414409949
try 327, z = 0.452294409960817
try 359, z = -2.1755807796464097
try 439, z = -0.23203931229235336
try 39, z = 2.2295946452585533
try 247, z = -0.5395625052541032
try 23, z = -0.11873909004164437
try 71, z = 0.038663311182644725
try 87, z = -0.34439100538060885
try 423, z = -1.8050597751927835
try 119, z = -1.2737019123127233
try 215, z = -0.9880624628912507
try 343, z = -1.11907152645367
try 407, z = -1.2083617740711146
try 55, z = 0.2584055378263054
try 279, z = -0.24131984993049685
try 151, z = -1.167453660282823
try 263, z = -0.8324448583900727
try 199, z = -0.5550783827155183
try 103, z = -2.0260211717296577
try 503, z = -0.3666079930782457
try 471, z = 0.14934535000528296
try 295, z = 0.566538499162274
try 311, z = 0.31384270879203724
try 231, z = 1.2035445319449058
try 167, z = 2.989549075835647
try 487, z = -0.828413991471032
try 455, z = -0.28543183194648664
try 183, z = 0.5554600478669514
try 391, z = -0.674871847674072
try 135, z = 0.02752312789530689
try 375, z = -2.388137395673364
try 8, z = 0.022867366593137213
try 360, z = -0.36866791765078005
try 248, z = -0.8031401540210965
try 40, z = 1.6834146707559334
try 424, z = 0.34024768933375144
try 72, z = -0.05404571215731734
try 24, z = 0.10356561890643468
try 88, z = 0.5445076942929401
try 440, z = 0.20007943868129455
try 408, z = 0.009025776599330189
try 328, z = -0.1821256241636947
try 56, z = -1.0747055483178298
try 120, z = -1.357046013176334
try 344, z = -2.07191940654096
try 264, z = -0.8140584806424973
try 216, z = 0.35003830906317673
try 152, z = -0.018799170859979338
try 200, z = 6.395635466907004
try 104, z = 1.0046316984470085
try 280, z = -1.2775957041808066
try 504, z = -0.2801698037612256
try 296, z = -0.8720905000124305
try 472, z = -1.0624355758138297
try 232, z = -1.2149986007330014
try 312, z = 0.7130808895137601
try 456, z = -0.08419455688918395
try 488, z = 2.2220406338720444
try 136, z = 0.5616122017461715
try 392, z = 0.12146317917039054
try 376, z = -0.5029055193855523
try 184, z = -0.5093302782988909
try 168, z = 0.5243980307290406
try 9, z = 2.2995591596971017
try 249, z = -0.1797618623534348
try 361, z = 0.38378810122302737
try 409, z = -0.42667833221502793
try 57, z = -0.5987574604308816
try 41, z = 0.05383847688891865
try 425, z = -0.373394219503913
try 441, z = -1.7003046199696061
try 89, z = 1.5204127799297176
try 73, z = -0.028128457988428716
try 329, z = -2.48309290475388
try 121, z = -1.390618367117608
try 25, z = -1.1826629204425274
try 265, z = 0.24838414315119828
try 153, z = -0.7839430227315045
try 105, z = 0.4062182287639226
try 345, z = 1.1944839796814555
try 505, z = 0.9943945262820479
try 217, z = 0.15431105675729062
try 281, z = -0.3066879485627945
try 473, z = 1.0200112588693782
try 233, z = 0.012293453803571133
try 297, z = -0.8844951276999775
try 201, z = -1.1118770975597272
try 457, z = -1.0824761592880154
try 137, z = 0.09878771405022163
try 313, z = -0.6525201068456452
try 377, z = -1.0801197946523906
try 393, z = 0.8558841164985137
try 185, z = 0.0995141576646454
try 489, z = -1.2035536574634824
try 169, z = -2.0242692348388602
try 10, z = -0.11803306913797228
try 42, z = -1.0047315082066766
try 362, z = -1.163027435530931
try 74, z = -0.03201733823377141
try 250, z = -0.9075714663615005
try 442, z = 1.684560459615337
try 426, z = -0.06194734599366591
try 58, z = -1.1362987569460719
try 410, z = -0.4705324898686127
try 330, z = 1.8464863197576364
try 346, z = -0.7865589419746912
try 90, z = 2.7714541492175493
try 26, z = 1.2199330777999375
try 154, z = 2.3103167901891393
try 506, z = 0.20106387946711324
try 266, z = 0.13567315130421828
try 122, z = -0.007292484013516638
try 106, z = 0.7286949196877693
try 202, z = 0.8756092404491005
try 218, z = 1.3638385700157143
try 298, z = -0.6520454663444262
try 282, z = 0.18487063826910577
try 474, z = 1.2237473696975794
try 234, z = -2.198219017897308
try 458, z = -0.9565279065774442
try 378, z = -1.3286764450833095
try 138, z = -0.5111773182027931
try 314, z = -0.41389712192815975
try 394, z = -0.3385650623744086
try 186, z = -0.939400579740074
try 490, z = -0.22288379513077944
try 170, z = -0.21360364872866358
try 11, z = -0.9904859825453223
try 43, z = -0.5631084119510176
try 75, z = -1.6899707195623717
try 443, z = -2.4719328395295497
try 59, z = -1.4829057420626552
try 411, z = -0.025890725986240325
try 251, z = 1.1405960781627147
try 363, z = 0.3381257163174138
try 331, z = -0.5905912653240287
try 27, z = -0.05290639935432397
try 427, z = -0.1518633778354903
try 507, z = 1.4499720574974244
try 347, z = 0.0788863743584195
try 91, z = -0.981296489752454
try 267, z = 0.12292636631181655
try 107, z = -0.5985797350522725
try 155, z = 0.011482418579334889
try 219, z = -3.9737892450429797
try 203, z = -0.3231147294883204
try 475, z = 0.046704231834741324
try 235, z = -0.8193076336526027
try 123, z = 1.2241968277715356
try 283, z = -0.42183602435244916
try 299, z = -0.653625343342504
try 379, z = -1.4547066120574355
try 139, z = -0.782624892998943
try 459, z = 0.05625334927511682
try 395, z = -0.9504055862787432
try 187, z = -0.691296696640624
try 315, z = -3.1156466588585365
try 491, z = -2.2093673665182583
try 171, z = 2.4748640177059142
try 44, z = -0.39961600628057514
try 12, z = -0.7220830503907032
try 76, z = 0.15462330580904268
try 444, z = 0.7061951643956987
try 364, z = 0.6543098945676911
try 60, z = -1.3129239225862441
try 428, z = -0.9428033279093511
try 332, z = -1.4669294058781384
try 252, z = -0.4431136981289643
try 508, z = -0.271188203743933
try 412, z = -0.7841661376758291
try 28, z = 0.49041210673191976
try 156, z = 0.5067185010509272
try 348, z = -0.4690717446838256
try 204, z = 0.5256565632939557
try 92, z = -0.0687112158893455
try 268, z = 0.9097406728747031
try 300, z = -0.6671908934839494
try 108, z = -2.280447323725204
try 220, z = 1.1108314926639766
try 284, z = -4.278843081572031
try 476, z = -1.3462813590243372
try 124, z = 0.7878328625319566
try 236, z = -1.2989259753382836
try 380, z = 0.3007636678217049
try 140, z = -1.0352297247248168
try 460, z = -1.2800341589624935
try 188, z = 1.0189859658836284
try 316, z = -1.2138672785594964
try 492, z = -0.2545942155808192
try 172, z = -0.8561610159432336
try 396, z = -0.17050064003696755
try 13, z = 0.017737749964320745
try 45, z = -0.13986271566844946
try 77, z = -0.18446993688845048
try 445, z = -0.06974365025754421
try 365, z = -0.9587854722996412
try 429, z = 0.24543427952480443
try 509, z = 0.5641205147154289
try 253, z = 0.22767118728500818
try 333, z = -0.05888880277350303
try 157, z = -2.7244151643320413
try 349, z = 0.7367153208964634
try 61, z = 0.6292355011759614
try 205, z = 2.250141392803295
try 29, z = -1.5255139959902118
try 413, z = -1.0183657767844276
try 93, z = -2.3229452197551153
try 301, z = -0.8021470566568283
try 269, z = -1.6419688208977756
