GeneID	meanvect
ENSG00000010219	22.69
ENSG00000010244	140.88
ENSG00000010256	131.945
ENSG00000010270	28.445
ENSG00000010278	23.98
ENSG00000010282	0.085
ENSG00000010292	91.945
ENSG00000010295	18.69
ENSG00000010310	1.515
ENSG00000010318	9.805
ENSG00000010319	1.5
ENSG00000010322	53.175
ENSG00000010327	0.08
ENSG00000010361	22.265
ENSG00000010379	0.055
ENSG00000010404	18.615
ENSG00000010438	0.155
ENSG00000010539	10.315
ENSG00000010610	0.56
ENSG00000010626	1.975
ENSG00000010671	0.49
ENSG00000010704	0.165
ENSG00000010803	25.17
ENSG00000010810	85.93
ENSG00000010818	5.395
ENSG00000010932	0.345
ENSG00000011007	40.16
ENSG00000011009	48.865
ENSG00000011021	8.745
ENSG00000011028	9.205
ENSG00000011052	24.04
ENSG00000011083	0
ENSG00000011105	6.985
ENSG00000011114	21.395
ENSG00000011132	16.07
ENSG00000011143	18.095
ENSG00000011198	14.095
ENSG00000011201	0
ENSG00000011243	48.9
ENSG00000011258	11.315
ENSG00000011260	35.11
ENSG00000011275	28.565
ENSG00000011295	35.825
ENSG00000011304	437.07
ENSG00000011332	9.11
ENSG00000011347	1.92
ENSG00000011376	37.395
ENSG00000011405	19.975
ENSG00000011422	5.01
ENSG00000011426	115.565
ENSG00000011451	35.495
ENSG00000011454	21.05
ENSG00000011465	0.11
ENSG00000011478	18.475
ENSG00000011485	95.945
ENSG00000011523	12.245
ENSG00000011566	15.695
ENSG00000011590	0.22
ENSG00000011600	0
ENSG00000011638	5.79
ENSG00000011677	0.26
ENSG00000012048	36.44
ENSG00000012061	37.11
ENSG00000012124	0
ENSG00000012171	0.95
ENSG00000012174	16.965
ENSG00000012211	11.73
ENSG00000012223	0
ENSG00000012232	17.9
ENSG00000012504	0
ENSG00000012660	62.455
ENSG00000012779	0.38
ENSG00000012817	0
ENSG00000012822	15.69
ENSG00000012963	27.135
ENSG00000012983	23.395
ENSG00000013016	5.245
ENSG00000013275	87.5
ENSG00000013288	6.225
ENSG00000013293	0.03
ENSG00000013297	0.06
ENSG00000013306	113.1
ENSG00000013364	1.45
ENSG00000013374	124.145
ENSG00000013375	19.44
ENSG00000013392	2.15
ENSG00000013441	28.055
ENSG00000013503	25.325
ENSG00000013523	20.505
ENSG00000013561	34.125
ENSG00000013563	19.64
